"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model_LFP",3,356.342026790091,362.137503688264,-175.171013395045,350.342026790091,NA,NA,NA
"effect_model_LFP",7,351.407066698113,364.929846127183,-168.703533349056,337.407066698113,12.9349600919779,4,0.0115980018850175
