"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model",7,699.187833784367,717.562643477357,-342.593916892184,685.187833784367,NA,NA,NA
"effect_model",12,707.554089412707,739.053763172118,-341.777044706354,683.554089412707,1.63374437166021,5,0.897138828862473
