"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model",7,782.890390342685,801.265200035675,-384.445195171342,768.890390342685,NA,NA,NA
"effect_model",12,788.375117379575,819.874791138986,-382.187558689787,764.375117379575,4.51527296310974,5,0.477842572431931
