"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model_MUAe",3,374.086852947333,379.882329845506,-184.043426473667,368.086852947333,NA,NA,NA
"effect_model_MUAe",7,363.939856731312,377.462636160382,-174.969928365656,349.939856731312,18.1469962160211,4,0.00115507490712781
