"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model",7,-118.68584305758,-100.31103336459,66.34292152879,-132.68584305758,NA,NA,NA
"effect_model",12,-127.984713159408,-96.4850393999968,75.992356579704,-151.984713159408,19.2988701018281,5,0.00169064322256314
