Acc_LFP_PeakRate,Acc_MUAe_PeakRate,Acc_LFP_PeakEnv,Acc_MUAe_PeakEnv,AccShuffle_LFP_PeakRate,AccShuffle_MUAe_PeakRate,AccShuffle_LFP_PeakEnv,AccShuffle_MUAe_PeakEnv,Bird_Name,Sex,Depths
21.6249165910287,15.0053133068911,21.5398982175065,13.1291399363689,14.2807369830198,15.0901086285286,13.2914190637343,15.5913731723161,F2,2,1
24.4687859888425,20.540322460029,19.6195776001268,15.1882530281373,13.6567356156803,16.0845634974051,13.5050969281687,14.5167469942002,M2,1,2
32.4258743263387,21.4079100256087,34.5662637729201,21.405534037113,14.3531456637236,14.1362439322708,14.1589620962686,13.170525342868,M2,1,2
44.6522667818657,31.8069375444996,46.0713729874577,34.2942418798312,14.5075859393125,14.6185550515596,13.4403652043511,14.7044583383593,F3,2,2
34.6454166892981,24.1783607625876,35.0143359618673,24.2261807770199,12.52837796245,15.0509604765267,14.5559419940225,14.4305640496776,M1,1,2
15.9335425114579,21.3661798584399,14.5271418702322,22.2514578141279,14.4680916492062,16.3757544485099,15.2728251740823,15.3433461893449,F1,2,2
33.3706709336224,24.3868196933212,35.8474120400661,25.2783126364138,14.7998509345259,12.4261135607885,14.7364909103815,14.6512971015739,M1,1,2
70.0418640506298,55.6314732614669,71.6801143700692,60.1128092712076,13.5221318711378,15.1977756226143,14.6806470517724,13.9756356992173,M2,1,3
46.9606801455447,34.9589432016938,48.3168540907389,33.7278534074636,12.9794764458786,14.1187711061692,13.0485197201283,14.0412847979455,M1,1,3
68.8729503497305,57.3570316565673,69.1030782942548,59.9385457164095,15.3295890555952,12.1510412532084,16.3313602748587,15.9860027313588,M2,1,3
60.1874533767775,63.7710273149276,62.6676365401276,66.8908609624162,13.665296475381,14.7949815053165,15.06614455183,14.5102336044,M2,1,3
17.6031785345717,45.700730994152,19.0418213537409,49.2323405438731,13.7820072239422,12.702700378397,15.2754412769893,14.1367752044997,F1,2,3
22.2611027771572,44.2810954007213,22.306404598703,47.7635538669339,13.4905737661315,12.7368013220843,14.1941041202156,14.8215116461422,F1,2,3
43.9862897985705,36.9631005618622,50.9892117399857,39.0354538058356,12.9726292856324,11.6923785498605,15.5911180704782,13.7131177120857,M1,1,3
60.269673607317,50.857891195694,62.1059281907716,56.6835114287764,12.0351990125255,12.6890543110949,14.9419944823787,12.3263416681055,M2,1,3
52.7833041683493,61.6545544737091,54.6315137478147,63.2523839112882,13.7307897478849,14.5435704920158,14.7285678480994,12.934760271212,F3,2,3
