ACC_Session_LFP,ACC_Session_MUAe,Cohen_Session_LFP,Cohen_Session_MUAe,ACC_Shuffle_LFP,ACC_Shuffle_MUAe,Cohen_Shuffle_LFP,Cohen_Shuffle_MUAe,Bird_Name,Sex,Depths,Session_Number
69.1234944172857,65.9961328251914,0.365733769209704,0.290662008853819,58.0938460105813,58.1245034729648,0.133171469312461,0.1273676330397,F2,2,1,1
58.6599106894925,61.1242405689689,0.146951576497274,0.191570969718132,50.8182557528446,50.263565851717,0.0230703180648349,-0.0156869547644919,M2,1,2,2
78.495387818725,69.6358850048398,0.56250082638127,0.367664721507184,59.3566467451326,60.2696932302344,0.151465754406342,0.158413562605959,M2,1,2,3
85.5347178817173,76.4729500344414,0.707555906957717,0.519330226805529,60.7580858135772,61.6798095318105,0.180852438853279,0.20107583477561,F3,2,2,4
79.6524133876956,72.57008894929,0.582355878735733,0.430693269380258,58.6820064359982,57.8218030965419,0.134352378184185,0.117510012095876,M1,1,2,5
66.1271824787239,71.2845843248196,0.293922519210305,0.403303179775348,58.4516107487932,61.1544007082013,0.128141563804217,0.187880322141127,F1,2,2,6
80.8779433396775,73.2394729903258,0.607507168643722,0.447219295425562,59.6503515197378,58.7086445461015,0.152632908738751,0.128403190195175,M1,1,2,7
92.3298070612672,92.7868166795677,0.84210001249215,0.851386231981936,58.9192979497886,57.7714175901081,0.134098552225554,0.11309971924711,M2,1,3,8
84.8401153980652,76.0958529800614,0.690275561681701,0.513141466167149,55.8259685655738,56.5603626765253,0.0821044574017474,0.102906091905072,M1,1,3,9
91.6862504523601,92.5435360414881,0.82946707039341,0.846771066098085,60.408297924091,56.5948369645279,0.171256386927713,0.0837823104799321,M2,1,3,10
89.4535153435843,93.6627763736195,0.783354665205224,0.869935789544428,58.2642278227394,59.0778767518681,0.134123227086839,0.136623520452465,M2,1,3,11
68.8223964297616,86.448403447416,0.353003982399982,0.722111256760144,59.6476256222418,59.1335121510219,0.145014447705557,0.131984254550537,F1,2,3,12
70.4386272219031,83.881161430599,0.387891200220094,0.670312138754065,59.6545180309144,58.5645251474913,0.151886062488479,0.128849131785474,F1,2,3,13
83.924847098888,78.2346932995956,0.669488633459067,0.551873996349796,51.4047912561317,52.0626086016236,0.000653173710540702,0.0290257391122362,M1,1,3,14
90.0703346533496,90.9631098763628,0.797712752580786,0.814294284077889,54.606150285382,56.0241454180584,0.0693415291463781,0.0802248861421653,M2,1,3,15
85.3144192745044,88.1030508960661,0.698721180804231,0.754495630919248,56.6954345284495,61.2748289823364,0.0976001122592387,0.191152777715673,F3,2,3,16
86.1903798498981,79.3870018039275,0.715097004637841,0.580771531456974,54.7184112373983,53.114149962242,0.0530868749831018,0.027051663331568,M1,1,4,17
