Acc_LFP,Acc_MUAe,Cohen_LFP,Cohen_MUAe,Birds_Name,Sex_Birds,Song_Number,Order_Parts,Depth_Record,Session_Number
71.0843373493976,68.6746987951807,0.392682926829268,0.303421562298257,F2,2,7,1,1,1
79.2517006802721,68.3673469387755,0.566581275073711,0.255756981871632,F2,2,10,1,1,1
73.953488372093,68.3720930232558,0.466501240694789,0.397957502882556,F2,2,8,1,1,1
63.6363636363636,68.7747035573123,0.239396117900791,0.313562523611636,F2,2,9,1,1,1
58.4415584415584,61.4718614718615,0.17585848074922,0.233359436178544,F2,2,5,1,1,1
68.4782608695652,56.8840579710145,0.370292667575789,0.107790937737694,F2,2,1,1,1,1
79.9086757990868,74.8858447488584,0.59896787081738,0.482758620689655,F2,2,4,1,1,1
68.6411149825784,69.6864111498258,0.334484180150469,0.340090387715728,F2,2,6,1,1,1
72.3004694835681,69.9530516431925,0.442334146882627,0.383111593809395,F2,2,2,1,1,1
73.972602739726,68.9497716894977,0.463073680588412,0.375283161339039,F2,2,4,1,1,1
76.530612244898,64.2857142857143,0.447819696227339,0.253951375126879,F2,2,10,1,1,1
70.6521739130435,63.0434782608696,0.397022332506204,0.24114507520621,F2,2,1,1,1,1
58.1395348837209,60.4651162790698,0.176315341392814,0.268326860711855,F2,2,8,1,1,1
67.5324675324675,69.2640692640693,0.354964816262705,0.392217898832685,F2,2,5,1,1,1
77.1084337349398,70.281124497992,0.494389227316447,0.356589147286822,F2,2,7,1,1,1
63.9130434782609,57.8260869565217,0.25979061651803,0.112216474333466,F2,2,3,1,1,1
56.5217391304348,71.5415019762846,0.194780394653087,0.361111111111111,F2,2,9,1,1,1
57.5757575757576,67.965367965368,0.154730789336121,0.360398114195914,F2,2,5,2,1,1
79.0940766550523,75.2613240418118,0.553330566507574,0.452039691289967,F2,2,6,2,1,1
68.3720930232558,58.1395348837209,0.402826566456989,0.22834582868081,F2,2,8,2,1,1
60.8695652173913,57.3122529644269,0.0881057268722468,-0.0651801029159521,F2,2,9,2,1,1
67.5799086757991,57.5342465753425,0.333376205787781,0.147645951035782,F2,2,4,2,1,1
64.7887323943662,54.4600938967136,0.285266878439443,0.0542000457770656,F2,2,2,2,1,1
71.4859437751004,69.8795180722892,0.381312335958005,0.331723027375201,F2,2,7,2,1,1
76.7123287671233,70.7762557077626,0.528077069337051,0.403472931562819,F2,2,4,2,1,1
71.830985915493,73.2394366197183,0.42406489409644,0.440687335882434,F2,2,2,2,1,1
65.2173913043478,67.3913043478261,0.271086657496561,0.335935411431321,F2,2,1,2,1,1
72.1739130434783,60.8695652173913,0.432536622976099,0.169341894060995,F2,2,3,2,1,1
73.5159817351598,57.9908675799087,0.443187795896896,0.148004059539919,F2,2,4,2,1,1
67.9442508710801,72.4738675958188,0.30336130019524,0.400771731374052,F2,2,6,2,1,1
65.863453815261,68.2730923694779,0.296540033901685,0.299241209789462,F2,2,7,2,1,1
65.9863945578231,64.6258503401361,0.215120935447702,0.232876712328767,F2,2,10,2,1,1
62.8458498023715,62.0553359683794,0.217233888486604,0.211991434689507,F2,2,9,2,1,1
67.0995670995671,57.5757575757576,0.350931677018634,0.158688865764828,F2,2,5,2,1,1
60.4651162790698,52.093023255814,0.26248032608257,0.103912920325335,F2,2,8,3,1,1
70.8920187793427,71.830985915493,0.416953642384106,0.42406489409644,F2,2,2,3,1,1
68.1159420289855,47.1014492753623,0.352216354616739,-0.068462639868484,F2,2,1,3,1,1
75.8503401360544,74.8299319727891,0.450944289547057,0.416697946270577,F2,2,10,3,1,1
66.0869565217391,69.5652173913043,0.300312012480499,0.367635506677141,F2,2,3,3,1,1
64.8401826484018,72.1461187214612,0.273491017190125,0.420660045969036,F2,2,4,3,1,1
75.609756097561,72.1254355400697,0.482376584561476,0.363671636827227,F2,2,6,3,1,1
64.6511627906977,60.9302325581395,0.334365325077399,0.231227651966627,F2,2,8,3,1,1
54.9407114624506,60.4743083003953,0.129482071713147,0.1991643454039,F2,2,9,3,1,1
51.9480519480519,65.8008658008658,0.0239808153477216,0.31700288184438,F2,2,5,3,1,1
77.5100401606426,73.0923694779116,0.508771929824561,0.405685582986,F2,2,7,3,1,1
73.0923694779116,65.4618473895582,0.418731054667085,0.331647940074906,F2,2,7,3,1,1
71.3615023474178,62.9107981220657,0.422250878207123,0.278337693528327,F2,2,2,3,1,1
65.7534246575342,61.6438356164384,0.307108205020038,0.2015625,F2,2,4,3,1,1
72.463768115942,64.1304347826087,0.427104386300322,0.260394110004331,F2,2,1,3,1,1
65.1567944250871,68.6411149825784,0.237553796291377,0.306614409964565,F2,2,6,3,1,1
58.4415584415584,69.6969696969697,0.181818181818182,0.398750650702759,F2,2,5,3,1,1
72.0930232558139,64.6511627906977,0.446209324289516,0.325295234949211,F2,2,8,4,1,1
61.304347826087,64.3478260869565,0.234766355140187,0.260971786833856,F2,2,3,4,1,1
71.7687074829932,67.0068027210884,0.403344906841411,0.227112580627676,F2,2,10,4,1,1
58.2329317269076,74.2971887550201,0.201184527114566,0.43101970865467,F2,2,7,4,1,1
79.3427230046948,58.2159624413146,0.571428571428571,0.146580831044884,F2,2,2,4,1,1
64.1860465116279,68.8372093023256,0.309834493684079,0.389385782713747,F2,2,8,4,1,1
64.2857142857143,61.2244897959184,0.220808723307587,0.18209771096686,F2,2,10,4,1,1
69.9604743083004,77.4703557312253,0.317720530835285,0.504722327162826,F2,2,9,4,1,1
70.7762557077626,69.4063926940639,0.406353240152478,0.372975513866929,F2,2,4,4,1,1
70.995670995671,63.6363636363636,0.424368653996355,0.281120331950207,F2,2,5,4,1,1
68.8405797101449,62.3188405797101,0.363202232118903,0.245068644468992,F2,2,1,4,1,1
75.609756097561,79.7909407665505,0.466287657403964,0.554705473222406,F2,2,6,4,1,1
80.4347826086957,64.7826086956522,0.596805609661083,0.272549785240141,F2,2,3,4,1,1
76.5217391304348,65.6521739130435,0.511023622047244,0.273490603758497,F2,2,3,4,1,1
73.7089201877934,65.2582159624413,0.473377483443709,0.285234899328859,F2,2,2,4,1,1
74.8858447488584,63.4703196347032,0.494311264116881,0.23198316675434,F2,2,4,4,1,1
70.6827309236948,69.0763052208835,0.377606574216744,0.334894369861588,F2,2,7,4,1,1
68.8372093023256,58.6046511627907,0.384217500961826,0.191148497273534,F2,2,8,5,1,1
72.4738675958188,71.7770034843206,0.4282724361399,0.356876089302017,F2,2,6,5,1,1
76.2845849802372,71.1462450592885,0.502164502164502,0.360867910163685,F2,2,9,5,1,1
69.5652173913043,71.3768115942029,0.381661065770523,0.400527878587925,F2,2,1,5,1,1
67.965367965368,64.5021645021645,0.366372599896212,0.301136363636364,F2,2,5,5,1,1
77.5510204081633,62.2448979591837,0.505227191595696,0.189378508619405,F2,2,10,5,1,1
68.3982683982684,62.7705627705628,0.374123148869836,0.262090483619345,F2,2,5,5,1,1
69.4063926940639,51.5981735159817,0.356249725793007,0.00394748133527841,F2,2,4,5,1,1
68.2730923694779,61.0441767068273,0.335057296420241,0.143419512714119,F2,2,7,5,1,1
61.8604651162791,77.2093023255814,0.266028309741882,0.525557306912857,F2,2,8,5,1,1
78.4037558685446,74.1784037558685,0.553825136612022,0.471511706590878,F2,2,2,5,1,1
72.4489795918367,71.0884353741497,0.413130267632708,0.295222516780416,F2,2,10,5,1,1
70.7317073170732,68.2926829268293,0.382985257985258,0.28519035498262,F2,2,6,5,1,1
67.8260869565217,68.695652173913,0.357250755287009,0.346487766377269,F2,2,3,5,1,1
67.3913043478261,62.6811594202899,0.344418052256532,0.224972737186478,F2,2,1,5,1,1
51.9480519480519,46.3203463203463,0.056171089925277,-0.0612033195020749,M2,1,5,1,2,2
57.3913043478261,63.4782608695652,0.104133545310016,0.248249027237354,M2,1,3,1,2,2
59.6244131455399,55.3990610328638,0.181281844998659,0.0598429586953491,M2,1,2,1,2,2
65.4618473895582,65.863453815261,0.231977619969873,0.281495060596802,M2,1,7,1,2,2
61.3240418118467,70.7317073170732,0.131180625630676,0.393081919339409,M2,1,6,1,2,2
55.1020408163265,58.843537414966,0.0104543831913917,0.0358827036695757,M2,1,10,2,2,2
48.6166007905138,59.6837944664032,0.0138522427440633,0.150615496017379,M2,1,9,2,2,2
47.906976744186,59.0697674418605,0.00298111957601862,0.205776173285198,M2,1,8,2,2,2
59.4202898550725,65.5797101449275,0.143379704040348,0.305982001058761,M2,1,1,2,2,2
55.2173913043478,53.4782608695652,0.0814269096549051,0.0322453794730633,M2,1,3,2,2,2
62.6506024096386,60.2409638554217,0.227095223790928,0.0805639476334338,M2,1,7,3,2,2
58.5365853658537,64.4599303135889,0.0551636373696296,0.240661963062876,M2,1,6,3,2,2
66.3265306122449,56.8027210884354,0.288327057557827,0.127983558316596,M2,1,10,3,2,2
59.4202898550725,64.4927536231884,0.175548087694031,0.276907448002994,M2,1,1,3,2,2
62.9107981220657,61.9718309859155,0.232939782103296,0.196675513339852,M2,1,2,3,2,2
61.1872146118721,53.4246575342466,0.17226199475299,0.0553958051420836,M2,1,4,4,2,2
74.2971887550201,71.0843373493976,0.450785773366418,0.382133995037221,M2,1,7,4,2,2
66.9767441860465,56.7441860465116,0.340006053007047,0.190911665924817,M2,1,8,4,2,2
59.2885375494071,69.9604743083004,0.176572818908585,0.364825581395349,M2,1,9,4,2,2
47.8260869565217,61.304347826087,-0.039939713639789,0.163465467919902,M2,1,3,4,2,2
53.2467532467532,63.6363636363636,0.0694516971279373,0.278876170655567,M2,1,5,5,2,2
