SessionITPCz,SongITPCz,BirdsITPCz,SexITPCz,Perf_SessionSong,Delta_ITPCz,Theta_ITPCz,Alpha_ITPCz,Beta_ITPCz,Gamma_ITPCz
1,1,F2,2,0.0668395749288635,0.192767668254438,0.37967489327278,0.481271030721582,0.393309082571912,0.387402673076817
2,1,M2,1,0.0961182599947855,0.285188920633905,0.276845020108697,0.261810030354252,0.363639772746234,0.373542277136146
3,1,M2,1,0.265251741971263,0.35111109301316,0.463175641127235,0.566426310776848,0.543313503120065,0.401255596428394
4,1,F3,2,0.435841698970516,0.348925426678778,1.0075376068982,0.695661312571123,0.896973847430524,0.74859881149248
5,1,M1,1,0.276956324548037,0.417023787831438,0.562464035090148,0.715741065174035,0.950815249798306,0.440664685845798
6,1,F1,2,0.0249036335104157,0.221792985841822,0.350467648285774,0.339101807265423,0.343670815757137,0.318663066204356
7,1,M1,1,0.25771610864306,0.619018572833492,0.824970856628526,0.647608861784386,1.09146060031399,0.621262903020362
8,1,M2,1,0.695591480203613,0.560022140356787,3.03066796867545,4.13161808961605,4.44044228012417,2.0545573355323
9,1,M1,1,0.435521052832863,0.409482661826388,2.69243570278843,2.74848336906801,3.26962620374764,1.31524690071537
10,1,M2,1,0.661300136598508,0.854437243448639,3.41266435473766,4.01659482759152,4.55866191623452,2.32592102978922
11,1,M2,1,0.556491051910315,0.643920238950785,2.48388575607955,3.16648427386272,4.01095225084238,1.91845053585059
12,1,F1,2,0.0353126804990859,0.331496326980488,0.340518026977062,0.433682643025656,0.269545683886425,0.274253912826513
13,1,F1,2,0.150948030108313,0.486113535548231,0.919165293297525,0.635379959704565,0.895868975603482,0.61700545278676
14,1,M1,1,0.4912658282878,0.540858151622018,0.93156410265357,1.55416432646469,2.02662382671843,0.894324106780122
15,1,M2,1,0.595573949825161,0.988101154371555,4.07412957590356,3.61352490728055,4.24660721356752,1.64894616981029
16,1,F3,2,0.497062322294995,0.502874436297359,1.11155435006449,0.993929053971502,1.07803752523832,0.838886146283124
17,1,M1,1,0.553305083996086,0.456150538509414,2.90684288563866,2.6541535842964,3.46518381628067,1.23895188987954
18,1,F1,2,0.115746896375468,0.550056955011455,1.0402406920209,0.797940219935002,0.67844684157827,0.558859903638105
19,1,M3,1,0.366637316692182,0.738310966975228,1.06246862313083,2.51770931928355,4.14366430165003,1.80375648757168
20,1,M2,1,0.361185685295697,0.65609528783857,2.80345486423107,2.29235210983647,3.04916801279789,1.39351933390489
21,1,F3,2,0.380115938317034,0.597760987223076,0.83343091072775,1.11034777718772,0.981802353284951,0.978283009632245
22,1,F1,2,0.117959511737027,0.213387676173018,0.276342605840352,0.28428044008066,0.404461844881218,0.411511964356625
23,1,M2,1,0.609598900545581,0.386669039444642,1.1316209549035,1.1369151280569,1.49459248357504,0.939626471983201
24,1,F1,2,0.0982356506655982,0.698501690183297,0.793689034463035,0.958197881525349,0.778572268437285,0.792061710776194
25,1,M2,1,0.250604351329573,0.202274061965567,0.492796261111914,0.630140649115966,0.772377665577077,0.440105487901603
26,1,F3,2,0.42069752072933,0.362219331625457,0.543467723250325,0.709659980027145,0.714394012607405,0.849769001845916
27,1,F1,2,0.309691991804151,0.835032926755352,1.49540610946547,1.00598281318893,1.32595417575457,0.959995175094585
28,1,M3,1,0.466666187784127,0.690404192389568,1.44473133559214,1.38973915036601,2.57955281937359,1.4565018646334
29,1,M2,1,0.352632611420746,0.200308413361921,0.638871863326091,1.07964903486192,2.06904764990649,0.79475066614737
30,1,F3,2,0.378826488235951,0.456013532853437,0.543243741023628,0.484436050736698,0.625255721971368,0.948090015740105
