"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model_Perf2",2,-2841.96701426577,-2829.55657741298,1422.98350713289,-2845.96701426577,NA,NA,NA
"effect_model_Perf2",3,-2853.3270881065,-2834.71143282732,1429.66354405325,-2859.3270881065,13.3600738407281,1,0.000257038186036858
