"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model",2,-1690.5231492803,-1678.11271242751,847.26157464015,-1694.5231492803,NA,NA,NA
"effect_model",3,-1702.63943995005,-1684.02378467086,854.319719975023,-1708.63943995005,14.1162906697461,1,0.000171849025159231
