"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model",2,375.137678400439,379.001329665887,-185.568839200219,371.137678400439,NA,NA,NA
"effect_model",3,377.059553052565,382.855029950738,-185.529776526283,371.059553052565,0.0781253478734243,1,0.779854140467363
