"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model_cohen",2,-3143.25532162377,-3130.84488477098,1573.62766081189,-3147.25532162377,NA,NA,NA
"effect_model_cohen",3,-3141.55920011713,-3122.94354483794,1573.77960005856,-3147.55920011713,0.303878493355114,1,0.581461108416828
