"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model_cohen",2,-67.7307621047583,-63.8671108393097,35.8653810523792,-71.7307621047583,NA,NA,NA
"effect_model_cohen",3,-66.0008472696356,-60.2053703714626,36.0004236348178,-72.0008472696356,0.270085164877258,1,0.603274648705691
