"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model_cohen",2,403.503944889172,407.367596154621,-199.751972444586,399.503944889172,NA,NA,NA
"effect_model_cohen",3,380.131384517628,385.926861415801,-187.065692258814,374.131384517628,25.372560371544,1,4.72592817606293e-07
