"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model",2,327.325668935678,331.189320201127,-161.662834467839,323.325668935678,NA,NA,NA
"effect_model",3,329.077761669385,334.873238567558,-161.538880834693,323.077761669385,0.247907266293112,1,0.61855250551625
