"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model",2,25453.707116474,25466.1175533268,-12724.853558237,25449.707116474,NA,NA,NA
"effect_model",3,25455.4230669434,25474.0387222226,-12724.7115334717,25449.4230669434,0.284049530619086,1,0.59405921177021
