"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model_cohen",2,-66.1336617849645,-62.2700105195158,35.0668308924822,-70.1336617849645,NA,NA,NA
"effect_model_cohen",3,-69.0260312182769,-63.2305543201039,37.5130156091384,-75.0260312182769,4.89236943331241,1,0.0269756402807505
