"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model",2,427.859157982815,431.722809248264,-211.929578991408,423.859157982815,NA,NA,NA
"effect_model",3,412.473713019277,418.26918991745,-203.236856509639,406.473713019277,17.385444963538,1,3.05153845629149e-05
