"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model",2,-39.5697106972186,-35.70605943177,21.7848553486093,-43.5697106972186,NA,NA,NA
"effect_model",3,-42.8020767263482,-37.0065998281753,24.4010383631741,-48.8020767263482,5.23236602912962,1,0.0221703542140645
