"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model",2,30944.6507736882,30957.061210541,-15470.3253868441,30940.6507736882,NA,NA,NA
"effect_model",3,30945.3970309476,30964.0126862268,-15469.6985154738,30939.3970309476,1.2537427405623,1,0.262838836258728
