"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model",2,432.960807359184,436.824458624632,-214.480403679592,428.960807359184,NA,NA,NA
"effect_model",3,417.296837079355,423.092313977528,-205.648418539677,411.296837079355,17.663970279829,1,2.63572187644569e-05
