"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model_cohen",2,384.158036902211,388.021688167659,-190.079018451105,380.158036902211,NA,NA,NA
"effect_model_cohen",3,386.061546219404,391.857023117576,-190.030773109702,380.061546219404,0.0964906828072571,1,0.756082302350397
