"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model",2,-9.81408597727095,-5.9504347118223,6.90704298863547,-13.8140859772709,NA,NA,NA
"effect_model",3,-24.7152141141378,-18.9197372159648,15.3576070570689,-30.7152141141378,16.9011281368668,1,3.93781722403882e-05
