"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model",2,380.858374958708,384.722026224157,-188.429187479354,376.858374958708,NA,NA,NA
"effect_model",3,361.316789290678,367.112266188851,-177.658394645339,355.316789290678,21.5415856680303,1,3.46238476885127e-06
