"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model_cohen",2,446.285039277953,450.148690543401,-221.142519638976,442.285039277953,NA,NA,NA
"effect_model_cohen",3,431.753376288164,437.548853186337,-212.876688144082,425.753376288164,16.5316629897885,1,4.78444181616739e-05
