"","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"null_model_Perf2",2,30919.5106054566,30931.9210423094,-15457.7553027283,30915.5106054566,NA,NA,NA
"effect_model_Perf2",3,30920.5542975074,30939.1699527866,-15457.2771487537,30914.5542975074,0.95630794918543,1,0.328118843605718
