Session,Birds,Sex,Intro_Perf,Motif1_Perf,Motif2_Perf
1,F2,2,0.119448818078326,0.0502679086649413,0.0511037986446781
2,M2,1,0.154647483995635,0.0495630287929835,0.0518289624701632
3,M2,1,0.26216970361297,0.216388478058606,0.157932033946669
4,F3,2,0.453210866161,0.367099280573505,0.266435658417519
5,M1,1,0.397580081181197,0.219465779269998,0.161175344580332
6,F1,2,0.0282647177117942,-0.000432107849915265,0.00906473732754744
7,M1,1,0.368699459263191,0.222281121168828,0.153939917493189
8,M2,1,0.675041774474256,0.685908374756257,0.604606048157395
9,M1,1,0.472158165565366,0.410132585817479,0.308833532165415
10,M2,1,0.676025031983381,0.740757172089823,0.542414591585849
11,M2,1,0.60469647688066,0.56259117338522,0.481184071116394
12,F1,2,0.0687471402961633,0.0224343032721506,0.0423687500976286
13,F1,2,0.13788678090917,0.0826823080246101,0.0683759232218094
14,M1,1,0.4612194113987,0.399768484698346,0.299050477843838
15,M2,1,0.577373657839777,0.593466545764317,0.437264953203805
16,F3,2,0.539565528875487,0.433671669271711,0.381411211718381
17,M1,1,0.449588037160903,0.478947617602104,0.409990933254517
18,F1,2,0.131231494800872,0.194410219817377,0.185412579836988
19,M3,1,0.524605480651169,0.435837016363594,0.429899256172027
20,M2,1,0.542515894592348,0.436391617451721,0.357149345362738
21,F3,2,0.530879891364785,0.442671523430401,0.320535720298861
22,F1,2,0.134440754903721,0.107929308545509,0.0981497774813612
23,M2,1,0.519440914554997,0.49444768121027,0.393771986959895
24,F1,2,0.28016525241672,0.129385344495756,0.135489765048844
25,M2,1,0.244047464643685,0.180122137673374,0.185738847625162
26,F3,2,0.309454569941291,0.217804489987359,0.147011264333476
27,F1,2,0.45340279061324,0.320375426924734,0.252300226752444
28,M3,1,0.598186776600486,0.502703511081323,0.416727572269075
29,M2,1,0.364528678293662,0.344151334582174,0.205217379376256
30,F3,2,0.468966976157376,0.280934888075058,0.254496381299377
31,M1,1,0.310888572298244,0.276887938419192,0.261355158792796
32,F1,2,0.347530051666069,0.261675227768767,0.226820815684591
33,M3,1,0.442845077275348,0.37360363750632,0.261174221959529
34,M2,1,0.329412239994895,0.139969659667831,0.161640539596372
35,M2,1,0.149450293975261,0.0564785965994611,0.101004503439582
36,F3,2,0.121233240583742,0.0439826563916863,0.00874729357623734
37,F1,2,0.307750011606434,0.206898712986368,0.118684063147278
38,M3,1,0.443080751566015,0.346073089224126,0.233310017203375
39,M1,1,0.491286585487344,0.459250497159984,0.447523404510848
40,F1,2,0.138092393259444,0.0920953885622735,0.0826904570943403
41,M2,1,0.0230879655082248,0.0632506191852909,0.0583737125911688
42,F2,2,0.404021164114833,0.309168525885813,0.244260710684016
43,F1,2,0.376163382181679,0.202875691745334,0.132373324902558
44,M1,1,0.484699172540902,0.302426601345056,0.233132418403566
45,F2,2,0.283100502580689,0.0487425705685723,0.0503057059723152
46,M4,1,0.574039308038293,0.486778165866389,0.471951637077653
47,M4,1,0.596747258672464,0.386975925043264,0.407251582827376
48,M4,1,0.527008026578408,0.348701211103107,0.360703837550386
49,M4,1,0.540073998528379,0.3765679800769,0.341488672021279
50,M4,1,0.40233722253587,0.25394472269811,0.252876888830104
51,M4,1,0.234843768649958,0.207518589151347,0.188714087158953
