Session,Birds,Sex,Intro_Perf,Motif1_Perf,Motif2_Perf
1,F2,2,0.255448922914544,0.125637497891078,0.0705967765545723
2,M2,1,0.115531362344937,0.069731283792996,0.117734144376857
3,M2,1,0.491743329096065,0.386107340415361,0.293865487187219
4,F3,2,0.724049188048722,0.553339146670014,0.534290975146401
5,M1,1,0.602589548971339,0.386643135408731,0.32202364933449
6,F1,2,0.0211303399593865,0.0208695894552405,0.00667221399748106
7,M1,1,0.633796032438892,0.341657178045691,0.302082114425887
8,M2,1,0.80554889544576,0.728180167933521,0.748194168182873
9,M1,1,0.72467298631697,0.484177246135356,0.455807274229562
10,M2,1,0.840502599643847,0.71894261080598,0.756235625350765
11,M2,1,0.797967710700449,0.658126587096001,0.69958800932293
12,F1,2,0.150940793545188,0.0788896921639779,0.0464025649158605
13,F1,2,0.287838104476791,0.0976754614017783,0.0903845630429742
14,M1,1,0.742053761995343,0.512397447465515,0.50307913723689
15,M2,1,0.781178033922931,0.67031511590828,0.68611244497264
16,F3,2,0.702913092194601,0.562115866043861,0.531329196456987
17,M1,1,0.732213770145125,0.5970713214899,0.505596754768954
18,F1,2,0.205112395078386,0.195153752636246,0.167399675436492
19,M3,1,0.701655342264652,0.510191422605442,0.45587870743553
20,M2,1,0.829041059105559,0.628370945699122,0.580065584031214
21,F3,2,0.758818006001348,0.496712922061142,0.491198545236935
22,F1,2,0.218629760332662,0.10761001114747,0.049962953082637
23,M2,1,0.786472694482054,0.621110146911964,0.519921184803677
24,F1,2,0.492360725621301,0.224640402594223,0.188937729314664
25,M2,1,0.561933924981385,0.287451376574325,0.266500297681506
26,F3,2,0.615995152028173,0.32719273522469,0.310115420592106
27,F1,2,0.645746666990538,0.458882527819146,0.395431743772217
28,M3,1,0.713545900262151,0.577023999968101,0.603856856437861
29,M2,1,0.655381207723727,0.422695132981381,0.377710569633032
30,F3,2,0.689363927672534,0.472795836521224,0.410218614474766
31,M1,1,0.612662370061438,0.488039715415857,0.551328712499597
32,F1,2,0.524611284723434,0.333413819924038,0.306685954653528
33,M3,1,0.638322858726702,0.559423160152552,0.496419312702489
34,M2,1,0.563826304704709,0.220137379949705,0.253790309477353
35,M2,1,0.325555443519938,0.222665169104565,0.160716327700118
36,F3,2,0.340543865759529,0.116692441470547,0.0803546061967263
37,F1,2,0.42804946876607,0.228540332360192,0.187519835126435
38,M3,1,0.597802396923496,0.482801188472791,0.458287044017238
39,M1,1,0.765489146177306,0.658874049426948,0.622654149564243
40,F1,2,0.393775562209123,0.162371921813966,0.124907708338625
41,M2,1,0.174710463522406,0.0976155052606994,0.0576785948925494
42,F2,2,0.734774337470362,0.485287587220807,0.457228659289018
43,F1,2,0.590488978570212,0.308254912789838,0.293521072111614
44,M1,1,0.759837771328566,0.500484969023432,0.503258075255389
45,F2,2,0.54561710574644,0.267900083487796,0.291970032750623
46,M4,1,0.848868717044504,0.629229392541821,0.614491255309495
47,M4,1,0.821222720975625,0.492534606039868,0.492541775830682
48,M4,1,0.757706495242564,0.490679043396821,0.513213532585536
49,M4,1,0.806783333786931,0.491225237834236,0.515906969008398
50,M4,1,0.691149978029657,0.405280795258902,0.398792180722788
51,M4,1,0.549606694283186,0.236655744275795,0.24048888926633
