Session_Number,Song_Number,Perf_LFP,Perf_MUAe,Name,Sex,Depth
1,1,0.0152951031923294,0.0415854454040527,F2,2,1
1,2,0.0278750583529472,0.0717375501990318,F2,2,1
1,3,0.0259292381150382,0.0621715102876935,F2,2,1
1,4,0.0212912678718567,0.0431285679340362,F2,2,1
1,5,0.0271446042590671,0.0372580223613315,F2,2,1
1,6,0.0247261151671409,0.0205247551202774,F2,2,1
1,7,0.0215511388248867,0.0378902355829875,F2,2,1
1,8,0.0279615388976203,0.0338039596875508,F2,2,1
1,9,0.0212796841348921,0.0443630729402815,F2,2,1
1,10,0.011901929974556,0.0258396491408349,F2,2,1
2,1,0.040176659822464,0.215244710445404,M2,1,1
2,2,0.0202910006046295,0.0939692258834838,M2,1,1
2,3,0.0142629543940226,0.0251017411549886,M2,1,1
2,4,0.0176368355751038,0.0327072143554688,M2,1,1
2,5,0.0158336162567139,0.00101375579833985,M2,1,1
2,6,0.0324171781539917,0.0981351733207702,M2,1,1
2,7,0.0344838500022888,0.0345668395360312,M2,1,1
2,8,0.00270233551661173,0.144963085651398,M2,1,1
2,9,0.00546721617380777,0.146236379941305,M2,1,1
2,10,0.0191778540611267,0.0112148225307465,M2,1,1
3,1,0.178989094495773,0.0878145277500152,M2,1,1
3,2,0.112833596765995,0.153191991150379,M2,1,1
3,3,0.090395838022232,0.168984569609165,M2,1,1
3,4,0.219270125031471,0.0496848523616791,M2,1,1
3,5,0.231815252039168,0.139519121911791,M2,1,1
3,6,0.1915975689888,0.0743726074695588,M2,1,1
3,7,0.15242100507021,0.0744042620062828,M2,1,1
3,8,0.0328901827335358,0.142821836471558,M2,1,1
3,9,0.204988731278314,0.0988462103737725,M2,1,1
3,10,0.182104790210724,0.0522366940975189,M2,1,1
4,1,0.23808054625988,0.178148575127125,F3,2,1
4,2,0.171037741005421,0.167090110480785,F3,2,1
4,3,0.179694202211168,0.120166599750519,F3,2,1
4,4,0.283522327740987,0.346833374765184,F3,2,1
4,5,0.24437560637792,0.352380666467879,F3,2,1
4,6,0.362681382232242,0.264938612778982,F3,2,1
4,7,0.297461420297623,0.232529364526272,F3,2,1
4,8,0.20907959010866,0.267001721594069,F3,2,1
4,9,0.292705217997233,0.210776527722677,F3,2,1
4,10,0.471436694264412,0.228109076619148,F3,2,1
5,1,0.335640941347395,0.0709455779620578,M1,1,1
5,2,0.355642126666175,0.1381297243966,M1,1,1
5,3,0.142427778244019,0.0577946662902832,M1,1,1
5,4,0.26357307434082,0.106262415647507,M1,1,1
5,5,0.2774185359478,0.113719230890274,M1,1,1
5,6,0.311282598972321,0.106975114345551,M1,1,1
5,7,0.25901979804039,0.0940708458423614,M1,1,1
5,8,0.144352722167969,0.158468127250671,M1,1,1
5,9,0.262881524033017,0.110841108693017,M1,1,1
