Session_Number,Song_Number,Perf_LFP,Perf_MUAe,Name,Sex,Depth
1,1,0.363375468580197,0.218421519344308,F2,2,1
1,2,0.448687703936755,0.310466125007285,F2,2,1
1,3,0.384640799158593,0.257527688183052,F2,2,1
1,4,0.420419607470005,0.27882934320928,F2,2,1
1,5,0.267461018143887,0.300529447413892,F2,2,1
1,6,0.398581472404407,0.382494971834823,F2,2,1
1,7,0.378475100694289,0.326404673449003,F2,2,1
1,8,0.338753158709096,0.295684176268504,F2,2,1
1,9,0.241269033232238,0.269462792746673,F2,2,1
1,10,0.402872160709151,0.256636791574026,F2,2,1
2,1,0.15946389586719,0.291444724530877,M2,1,1
2,2,0.207110813550977,0.128259236017601,M2,1,1
2,3,0.0485402471083774,0.147986624876773,M2,1,1
2,4,0.17226199475299,0.0553958051420836,M2,1,1
2,5,0.0628113935266072,0.108836425576746,M2,1,1
2,6,0.0931721315001528,0.316871941201142,M2,1,1
2,7,0.303286205709073,0.248064334422486,M2,1,1
2,8,0.160784957100164,0.190653593693591,M2,1,1
2,9,0.108630708430798,0.245310640919163,M2,1,1
2,10,0.149390720374609,0.0819331309930859,M2,1,1
3,1,0.537791568014321,0.322899406324058,M2,1,1
3,2,0.593380202353244,0.449611124948944,M2,1,1
3,3,0.460542557769051,0.4038863232812,M2,1,1
3,4,0.633467314777723,0.404339637095732,M2,1,1
3,5,0.542544090049964,0.355984392185777,M2,1,1
3,6,0.650557261730149,0.395320810481841,M2,1,1
3,7,0.536085289722615,0.34463468223473,M2,1,1
3,8,0.43592675672373,0.322756695360061,M2,1,1
3,9,0.612252711485573,0.351904156333868,M2,1,1
3,10,0.620134437883143,0.348928473682527,M2,1,1
4,1,0.718146071869592,0.469901529859375,F3,2,1
4,2,0.624862106956115,0.406492913159728,F3,2,1
4,3,0.586720735022738,0.457202413372293,F3,2,1
4,4,0.655889133267042,0.556438197519347,F3,2,1
4,5,0.73996926405329,0.550736748210305,F3,2,1
4,6,0.749057056153883,0.513353540399335,F3,2,1
4,7,0.757104749737536,0.556135036189024,F3,2,1
4,8,0.67946886624486,0.584647403676171,F3,2,1
4,9,0.778373130768321,0.533199465032254,F3,2,1
4,10,0.792950112533315,0.55524546971539,F3,2,1
5,1,0.635160911526509,0.374943661185229,M1,1,1
5,2,0.616040630142836,0.445734685040884,M1,1,1
5,3,0.43878404683976,0.369956462817266,M1,1,1
5,4,0.702738061258253,0.551738546865743,M1,1,1
5,5,0.589700167458924,0.460096657730473,M1,1,1
5,6,0.607665690969422,0.382307459750599,M1,1,1
5,7,0.516270481562274,0.450887706732119,M1,1,1
5,8,0.494386845268286,0.393448485837818,M1,1,1
5,9,0.578404612781642,0.484622822067932,M1,1,1
5,10,0.663222197931959,0.38336842015084,M1,1,1
6,1,0.237741380342621,0.337031014531605,F1,2,1
6,2,0.34198874357503,0.419837589034855,F1,2,1
6,3,0.308785749688699,0.377461333320767,F1,2,1
6,4,0.34903932504699,0.480984229508353,F1,2,1
6,5,0.242943992703119,0.371879175946885,F1,2,1
6,6,0.3165307032135,0.44024004960904,F1,2,1
6,7,0.286165020157762,0.390176327749731,F1,2,1
6,8,0.263330841203548,0.409348122590412,F1,2,1
6,9,0.258036893724644,0.371386341678362,F1,2,1
6,10,0.331073979898569,0.431495929973773,F1,2,1
7,1,0.612233027202679,0.394196991581725,M1,1,2
7,2,0.580638748351505,0.440855820251263,M1,1,2
7,3,0.537798671188355,0.429246842643127,M1,1,2
7,4,0.66957406393233,0.521307618554348,M1,1,2
7,5,0.625260484803986,0.494225335568092,M1,1,2
7,6,0.59054649067547,0.374900632452118,M1,1,2
7,7,0.550781796736527,0.493699087071304,M1,1,2
7,8,0.52830935299249,0.456983578678661,M1,1,2
7,9,0.671851027338671,0.435579295135568,M1,1,2
7,10,0.714284712744064,0.438606584632288,M1,1,2
8,1,0.828762624854616,0.836424210926278,M2,1,2
8,2,0.796188042620554,0.813068800904166,M2,1,2
8,3,0.831305782296374,0.81078693379835,M2,1,2
8,4,0.914567749688073,0.880765396121381,M2,1,2
8,5,0.885669720395129,0.849898022977144,M2,1,2
8,6,0.814886887157512,0.889064850211843,M2,1,2
8,7,0.810496500160424,0.866703398412289,M2,1,2
8,8,0.799367085723113,0.81124826808804,M2,1,2
8,9,0.895875023194493,0.911686147903358,M2,1,2
