Session_Number,Song_Number,Perf_LFP,Perf_MUAe,Name,Sex,Depth
1,1,0.0668395749288635,0.0377074049313909,F2,2,1
1,2,0.030854107683399,-0.00480550551309254,F2,2,1
1,3,0.0803902987552266,-0.0177708214702686,F2,2,1
1,4,0.0871038875905413,0.0198217452213761,F2,2,1
1,5,0.0945202637707538,-0.0327458441857666,F2,2,1
1,6,0.0786577133181344,-0.0559271545048002,F2,2,1
1,7,0.0724173258141187,0.0310548007689249,F2,2,1
1,8,0.0985394893985747,0.0692575792441995,F2,2,1
1,9,0.0783759332691884,-0.0334312705698671,F2,2,1
1,10,0.096883466046517,-0.0325200029832607,F2,2,1
2,1,0.0961182599947853,-0.0204291357231903,M2,1,1
2,2,0.0636791900153107,-0.022448540750345,M2,1,1
2,3,0.156752177787737,0.108446042926946,M2,1,1
2,4,0.0660722450845906,-0.00923787528868361,M2,1,1
2,5,0.0700060569704666,0.0729251152512393,M2,1,1
2,6,0.11689800626027,0.142898866685026,M2,1,1
2,7,0.0303251328377654,0.0287532229182756,M2,1,1
2,8,0.0766060938737327,0.100636345234564,M2,1,1
2,9,0.0184993102949423,0.091814381566623,M2,1,1
2,10,0.0923232125698791,0.0675126246339613,M2,1,1
3,1,0.265251741971263,0.0812123975519832,M2,1,1
3,2,0.158686468947924,0.0675556422233802,M2,1,1
3,3,0.187009533681312,0.107638684499494,M2,1,1
3,4,0.264970266393241,0.0893486821647956,M2,1,1
3,5,0.247426130612946,0.0935695338882929,M2,1,1
3,6,0.221342557224216,0.107354009397218,M2,1,1
3,7,0.18393491711252,0.0918357911537864,M2,1,1
3,8,0.213994497929282,0.0996982736725104,M2,1,1
3,9,0.206677107287694,0.00907586922742807,M2,1,1
3,10,0.183848538886761,0.0879935409922452,M2,1,1
4,1,0.435841698970516,0.288748512560396,F3,2,1
4,2,0.383581959023037,0.168680271666324,F3,2,1
4,3,0.41033893107426,0.224424730350839,F3,2,1
4,4,0.24443821470504,0.169820397809077,F3,2,1
4,5,0.352120173181471,0.227273724420891,F3,2,1
4,6,0.304908004592622,0.201911822631115,F3,2,1
4,7,0.385015901451005,0.174766882322819,F3,2,1
4,8,0.403309996588816,0.215193141565275,F3,2,1
4,9,0.449622032613466,0.192624539561399,F3,2,1
4,10,0.314702504544469,0.31350910809998,F3,2,1
5,1,0.276956324548037,0.115655054445689,M1,1,1
5,2,0.202102803946892,0.109949582543204,M1,1,1
5,3,0.261584072846519,0.124656518392458,M1,1,1
5,4,0.209545083295973,0.118570790442448,M1,1,1
5,5,0.234392627087561,0.104723001797769,M1,1,1
5,6,0.211454156143661,0.0784094630914325,M1,1,1
5,7,0.291903721983827,0.145264740104147,M1,1,1
5,8,0.200366872137956,0.115940497699396,M1,1,1
5,9,0.235928743038683,0.115765252347243,M1,1,1
5,10,0.207417495589059,0.112762344244133,M1,1,1
6,1,0.0249036335104157,0.116401019928562,F1,2,1
6,2,0.00438147535665876,0.0800619679603535,F1,2,1
6,3,0.0237472816364741,0.120604612824308,F1,2,1
6,4,0.00594831806359419,0.118374218924483,F1,2,1
6,5,0.0171521530411206,0.0912969630171189,F1,2,1
6,6,0.00959204335732199,0.0984040756035754,F1,2,1
6,7,0.00365878878528987,0.108453602553246,F1,2,1
6,8,-0.0225345260865363,0.0857864455669409,F1,2,1
6,9,0.0218548931599283,0.0923405590943754,F1,2,1
6,10,0.0144285128074096,0.0728286921771184,F1,2,1
7,1,0.25771610864306,0.136639019863286,M1,1,2
7,2,0.260933987973778,0.13550177290547,M1,1,2
7,3,0.260111247744074,0.134715403734639,M1,1,2
7,4,0.265717152960162,0.227341924149323,M1,1,2
7,5,0.196659938877303,0.113343890644014,M1,1,2
7,6,0.277860861893488,0.137007612747812,M1,1,2
7,7,0.224112721531922,0.136495600178894,M1,1,2
7,8,0.2219299158833,0.12968522600921,M1,1,2
7,9,0.23195964689806,0.126159630123868,M1,1,2
7,10,0.223360683549964,0.0987158866424576,M1,1,2
8,1,0.695591480203613,0.618501329781827,M2,1,2
8,2,0.578080251079533,0.445238267301456,M2,1,2
8,3,0.641626216172475,0.513649774821649,M2,1,2
8,4,0.549142563443679,0.531934677234226,M2,1,2
8,5,0.694107939115331,0.487242895146011,M2,1,2
8,6,0.673518230446714,0.491480937440269,M2,1,2
8,7,0.66039976563188,0.534112190239964,M2,1,2
8,8,0.797342577114912,0.521291254447592,M2,1,2
8,9,0.664722668238895,0.461254264674564,M2,1,2
8,10,0.644437389970928,0.471716252379554,M2,1,2
9,1,0.435521052832864,0.235768194557804,M1,1,2
9,2,0.395847047190023,0.207193811372321,M1,1,2
9,3,0.349727240503705,0.240564051230229,M1,1,2
9,4,0.400405923591288,0.232448048661895,M1,1,2
9,5,0.334446929152061,0.199030331457596,M1,1,2
9,6,0.37229820772249,0.285447496673163,M1,1,2
9,7,0.430158048430863,0.322394075480725,M1,1,2
9,8,0.326183021237114,0.246646574298899,M1,1,2
9,9,0.438620022286538,0.214530383296963,M1,1,2
9,10,0.486309264372536,0.2920220256024,M1,1,2
10,1,0.661300136598508,0.575237461962221,M2,1,2
10,2,0.672926284780483,0.52301169115973,M2,1,2
10,3,0.601134717944951,0.467296339483434,M2,1,2
10,4,0.728862136038397,0.576992380204273,M2,1,2
10,5,0.710911317882204,0.578551513816586,M2,1,2
10,6,0.711883194675808,0.574351687518425,M2,1,2
10,7,0.536988535583771,0.452142867740654,M2,1,2
10,8,0.629390809133631,0.547264307144653,M2,1,2
10,9,0.658073758807019,0.433636762592528,M2,1,2
10,10,0.562898827657947,0.454776698281245,M2,1,2
11,1,0.556491051910315,0.595223363901326,M2,1,2
11,2,0.56110644462391,0.521963604526912,M2,1,2
11,3,0.640460099655054,0.622633291272357,M2,1,2
11,4,0.511434574174651,0.594721117583808,M2,1,2
11,5,0.644065680524343,0.614577874391915,M2,1,2
11,6,0.585846531544897,0.633803012815168,M2,1,2
11,7,0.358769089168149,0.51564164397049,M2,1,2
11,8,0.51719015864446,0.591159004857107,M2,1,2
11,9,0.518229005588729,0.578565938939912,M2,1,2
11,10,0.504940261369368,0.600759242243929,M2,1,2
12,1,0.0353126804990859,0.43027056212481,F1,2,2
12,2,0.0279792554519775,0.42897362783196,F1,2,2
12,3,0.0288003500934321,0.380106592222984,F1,2,2
12,4,0.026119340669409,0.444420157180161,F1,2,2
12,5,-0.00496467418556914,0.335836504808127,F1,2,2
12,6,0.0778599102168576,0.409225890752723,F1,2,2
12,7,0.0350395122104877,0.308014637636191,F1,2,2
12,8,0.0297153351935026,0.335247141726112,F1,2,2
12,9,0.0623764516338415,0.392259655393366,F1,2,2
12,10,0.0850228981139692,0.418315161598873,F1,2,2
13,1,0.150948030108313,0.442099067864116,F1,2,2
13,2,0.0677716741147066,0.367354989017473,F1,2,2
13,3,0.119335612901755,0.400816682113643,F1,2,2
13,4,0.0967201648005246,0.338215296122682,F1,2,2
13,5,0.0658241916292414,0.318312983390771,F1,2,2
13,6,0.0960381630148838,0.366930326413824,F1,2,2
