Session,OrderParts,LFP_Perf,MUAe_Perf,Name,Sex,Depth
1,1,0.0158119482152602,0.0615723378518048,F2,2,1
1,2,0.0281625460175907,0.0415299078997443,F2,2,1
1,3,0.0157385152928969,0.0329172506051905,F2,2,1
1,4,0.02650306855931,0.0419017111553866,F2,2,1
1,5,0.0270668665568034,0.0273624261220296,F2,2,1
2,1,0.0189072608947754,0.0508622288703918,M2,1,1
2,2,0.029042637348175,0.141097915172577,M2,1,1
2,3,0.0314211130142212,0.0648720860481262,M2,1,1
2,4,0.00454193353652955,0.100120735168457,M2,1,1
2,5,0.00820459922154744,0.0465673009554545,M2,1,1
3,1,0.125902665985955,0.0953760047753652,M2,1,1
3,2,0.127165287733078,0.121915244393878,M2,1,1
3,3,0.192363762193256,0.0729053020477295,M2,1,1
3,4,0.184629834360546,0.10078270567788,M2,1,1
3,5,0.169183823797438,0.125013523631626,M2,1,1
4,1,0.242565414484809,0.220023954615873,F3,2,1
4,2,0.256756747470183,0.23489669491263,F3,2,1
4,3,0.327270718181835,0.237243512097527,F3,2,1
4,4,0.269592982881209,0.256181124378653,F3,2,1
4,5,0.274305360184776,0.243556926647822,F3,2,1
5,1,0.290487712935397,0.118459914859972,M1,1,1
5,2,0.310999318173057,0.0583517520051253,M1,1,1
5,3,0.242287880495975,0.126815946478593,M1,1,1
5,4,0.246738289531909,0.106154441833496,M1,1,1
5,5,0.22273828481373,0.0988805733228984,M1,1,1
6,1,0.0372087270021439,0.132729786634445,F1,2,1
6,2,0.0161960810422898,0.0895104795694351,F1,2,1
6,3,0.0199212193489075,0.112467402219772,F1,2,1
6,4,0.0289886623620987,0.0851897805929183,F1,2,1
6,5,0.0294755101203919,0.0920245459205226,F1,2,1
7,1,0.304049509763718,0.20727630853653,M1,1,2
7,2,0.260280293226242,0.183296599984169,M1,1,2
7,3,0.276215121150017,0.181182914972305,M1,1,2
7,4,0.227711620926857,0.1533147752285,M1,1,2
7,5,0.25565620158848,0.162712561456781,M1,1,2
8,1,0.331693526576547,0.336265476310954,M2,1,2
8,2,0.444113601656521,0.468299266170053,M2,1,2
8,3,0.380998327451594,0.413919578580295,M2,1,2
8,4,0.382484015296487,0.436340318006628,M2,1,2
8,5,0.455861266454061,0.417814751466115,M2,1,2
9,1,0.336165125880922,0.339302326951708,M1,1,2
9,2,0.396187948329108,0.413184238331659,M1,1,2
9,3,0.401683300733566,0.295719691685268,M1,1,2
9,4,0.298318752220699,0.346863491194589,M1,1,2
9,5,0.354850439230601,0.342086084683736,M1,1,2
10,1,0.251304697245359,0.304268296808004,M2,1,2
10,2,0.373757980763912,0.398849505931139,M2,1,2
10,3,0.401356678456068,0.430913615971804,M2,1,2
10,4,0.455142993479967,0.416486699134112,M2,1,2
10,5,0.379620530775615,0.47595118199076,M2,1,2
11,1,0.426611201630698,0.555694931083255,M2,1,2
11,2,0.380869891908434,0.550006783670849,M2,1,2
11,3,0.409412288003498,0.509289781252543,M2,1,2
11,4,0.377855744626787,0.523912254307005,M2,1,2
11,5,0.310246039839352,0.532534963944379,M2,1,2
12,1,0.0270027995109558,0.402005729079247,F1,2,2
12,2,0.0148153066635132,0.369882881641388,F1,2,2
12,3,0.0188755720853806,0.394314435124397,F1,2,2
12,4,0.0335004508495331,0.380365139245987,F1,2,2
12,5,0.0246170580387115,0.445170810818672,F1,2,2
13,1,0.0758181779008162,0.541908759819834,F1,2,2
13,2,0.0492736038408781,0.526655852794647,F1,2,2
13,3,0.0404515015451532,0.448996697601519,F1,2,2
13,4,0.0446499178284093,0.464303437032198,F1,2,2
13,5,0.0220933329491388,0.424103759583973,F1,2,2
14,1,0.311109569337633,0.281938850879669,M1,1,2
14,2,0.395668380790286,0.326084070735508,M1,1,2
14,3,0.467300593852997,0.367422090636359,M1,1,2
14,4,0.420583532916175,0.309208081828223,M1,1,2
14,5,0.31727921962738,0.375135203202566,M1,1,2
15,1,0.334140177283968,0.358232647180557,M2,1,2
15,2,0.345551201275417,0.43219102706228,M2,1,2
15,3,0.353943215949195,0.392524468047278,M2,1,2
15,4,0.42720262493406,0.467415635074888,M2,1,2
15,5,0.34758951763312,0.482973297437032,M2,1,2
16,1,0.21181663445064,0.320045300892421,F3,2,2
16,2,0.438910744019917,0.600808718374797,F3,2,2
16,3,0.280899350132261,0.562516846827098,F3,2,2
16,4,0.361360877752304,0.510275704520089,F3,2,2
16,5,0.434077615921314,0.508314412373763,F3,2,2
17,1,0.446362853050232,0.403635886999277,M1,1,3
17,2,0.339838908268855,0.40297657251358,M1,1,3
17,3,0.363674122553605,0.405658157972189,M1,1,3
17,4,0.455407376472767,0.41369210756742,M1,1,3
17,5,0.408323418010365,0.367712790315802,M1,1,3
18,1,0.101139172127372,0.0829632595965737,F1,2,3
18,2,0.206631089511671,0.0799631978336133,F1,2,3
18,3,0.133924211326398,0.078292052996786,F1,2,3
18,4,0.162357041710302,0.119494406800521,F1,2,3
18,5,0.0700932383537292,0.0419498473405838,F1,2,3
19,1,0.335231107473373,0.535749569535256,M3,1,3
19,2,0.301217216253281,0.520275714993477,M3,1,3
19,3,0.120433002710342,0.293840500712395,M3,1,3
19,4,0.25465352833271,0.465933391451836,M3,1,3
19,5,0.271097987890244,0.469783896207809,M3,1,3
20,1,0.402481295845725,0.452329234643416,M2,1,3
20,2,0.456828556277535,0.532303094863892,M2,1,3
20,3,0.219217896461487,0.490225694396279,M2,1,3
20,4,0.363082349300385,0.467879165302623,M2,1,3
20,5,0.405781929309552,0.535575087253864,M2,1,3
21,1,0.300378199134554,0.454665107386453,F3,2,3
21,2,0.274252597774778,0.36732633624758,F3,2,3
21,3,0.378620841673442,0.457343633685793,F3,2,3
21,4,0.280646911689213,0.44430045570646,F3,2,3
21,5,0.34494956334432,0.450866887966792,F3,2,3
22,1,0.0630951743376882,0.217310441167731,F1,2,3
22,2,0.0682349518725747,0.19645432108327,F1,2,3
22,3,0.0772935308908161,0.146521605943379,F1,2,3
22,4,0.0616105700794019,0.219533826175489,F1,2,3
22,5,0.0967333401952471,0.175867685249874,F1,2,3
23,1,0.262170619434781,0.415615611606174,M2,1,3
23,2,0.32809262143241,0.326645308070713,M2,1,3
23,3,0.378943251238929,0.516063564353519,M2,1,3
23,4,0.43976362546285,0.499675697750515,M2,1,3
23,5,0.29678162601259,0.440707524617513,M2,1,3
24,1,0.099474781437924,0.160968887178521,F1,2,3
24,2,0.0925974438064977,0.1683349609375,F1,2,3
24,3,0.0758898666030482,0.135554363853053,F1,2,3
24,4,0.0466931838738291,0.102707938144082,F1,2,3
24,5,0.0735674245016916,0.0906676877112616,F1,2,3
25,1,0.261985763907433,0.499190777540207,M2,1,4
25,2,0.0870238691568374,0.451949417591095,M2,1,4
25,3,0.149874478578567,0.573783770203591,M2,1,4
25,4,0.0673883706331253,0.382053092122078,M2,1,4
25,5,0.091878068447113,0.390908145904541,M2,1,4
26,1,0.261872543228997,0.488019565741221,F3,2,4
26,2,0.141488737530178,0.347896052731408,F3,2,4
26,3,0.184441559844547,0.438125643465254,F3,2,4
26,4,0.117735001775954,0.274699370066325,F3,2,4
26,5,0.0974422097206117,0.424346528270028,F3,2,4
27,1,0.34440204501152,0.453091312199831,F1,2,4
27,2,0.310832891613245,0.382137972861528,F1,2,4
27,3,0.180209100246429,0.27220531925559,F1,2,4
27,4,0.361032854765653,0.390259377658367,F1,2,4
27,5,0.253496724016526,0.364330926362206,F1,2,4
28,1,0.368529781699181,0.485296794772148,M3,1,4
28,2,0.387859818339348,0.492723336815834,M3,1,4
28,3,0.407379192113876,0.522533893585205,M3,1,4
28,4,0.280191066861153,0.395251914858818,M3,1,4
28,5,0.264859515428543,0.417538547515869,M3,1,4
29,1,0.12045008885233,0.211073869153073,M2,1,4
29,2,0.213486169513903,0.246000820084622,M2,1,4
