Session,OrderParts,LFP_Perf,MUAe_Perf,Name,Sex,Depth
1,1,0.057458267940745,0.0118034066359285,F2,2,1
1,2,0.105329438412784,-0.000842980347584482,F2,2,1
1,3,0.046495357735642,0.0130504716293221,F2,2,1
1,4,0.103097116882603,0.00914510115186454,F2,2,1
1,5,0.0831408020148328,-0.0373408278907394,F2,2,1
2,1,0.0591495613709967,0.0486588517913277,M2,1,1
2,2,0.110318707175585,0.122422219192689,M2,1,1
2,3,0.107117968072171,0.0136891803152625,M2,1,1
2,4,0.0553095124630275,0.0800165813932933,M2,1,1
2,5,0.0437303652265474,0.045565266460355,M2,1,1
3,1,0.287289732087808,0.0792430441655971,M2,1,1
3,2,0.172748694548716,0.0928390709153348,M2,1,1
3,3,0.2514358904109,0.0852414074862761,M2,1,1
3,4,0.185324822439631,0.0645532070991582,M2,1,1
3,5,0.174762637751887,0.0968688950287842,M2,1,1
4,1,0.396280781339804,0.220432771796906,F3,2,1
4,2,0.440172646505133,0.1955502374801,F3,2,1
4,3,0.40220348106979,0.27683364552701,F3,2,1
4,4,0.34833009742476,0.215037527514105,F3,2,1
4,5,0.25872186549678,0.178519572490861,F3,2,1
5,1,0.297124677610561,0.0880463069842603,M1,1,1
5,2,0.19233490340311,0.100899449784152,M1,1,1
5,3,0.264664951207209,0.15566956221945,M1,1,1
5,4,0.214703285050565,0.135722576891769,M1,1,1
5,5,0.191573155652344,0.0904143384809835,M1,1,1
6,1,0.00374331519818482,0.0707396522589153,F1,2,1
6,2,-0.011593176875864,0.10294498528587,F1,2,1
6,3,0.00323578919254311,0.115155825548484,F1,2,1
6,4,0.025765625427779,0.100061208455873,F1,2,1
6,5,0.0308652518054726,0.103955136127557,F1,2,1
7,1,0.235044194135751,0.135858124984337,M1,1,2
7,2,0.241064109619831,0.141382226694331,M1,1,2
7,3,0.290748372968944,0.152686012681383,M1,1,2
7,4,0.30293703252154,0.150079371367659,M1,1,2
7,5,0.133791122193138,0.101505422699274,M1,1,2
8,1,0.627176584956136,0.501307666677426,M2,1,2
8,2,0.718919914478573,0.466848027667741,M2,1,2
8,3,0.724211279913075,0.586280275767928,M2,1,2
8,4,0.663989785013413,0.541677572680325,M2,1,2
8,5,0.546693801739566,0.430582526862364,M2,1,2
9,1,0.456709062514017,0.20000208986962,M1,1,2
9,2,0.346013307862564,0.227987328856903,M1,1,2
9,3,0.463036919598747,0.254139107348778,M1,1,2
9,4,0.388775668095185,0.306451054405118,M1,1,2
9,5,0.323009187756789,0.248223156277177,M1,1,2
10,1,0.67340372363243,0.560126131802525,M2,1,2
10,2,0.710345852805198,0.488342217951211,M2,1,2
10,3,0.723812423340979,0.574322767744335,M2,1,2
10,4,0.568675956847626,0.485091354810801,M2,1,2
10,5,0.54591484240744,0.472739376105694,M2,1,2
11,1,0.495692729954066,0.545138835634664,M2,1,2
11,2,0.554532892583784,0.620604475997802,M2,1,2
11,3,0.647552996809289,0.646058376864873,M2,1,2
11,4,0.529115614765837,0.57408226425162,M2,1,2
11,5,0.472250310048395,0.551943514962512,M2,1,2
12,1,0.045475967136805,0.383844607855995,F1,2,2
12,2,0.0422808431462648,0.3280580115216,F1,2,2
12,3,0.0489977758357874,0.395341765664158,F1,2,2
12,4,0.0151893786933085,0.46837525057372,F1,2,2
12,5,0.0496865651363313,0.36571533002218,F1,2,2
13,1,0.110201928032353,0.392951468206203,F1,2,2
13,2,0.0962722443000225,0.279378838826905,F1,2,2
13,3,0.08154270922233,0.375455995110409,F1,2,2
13,4,0.0600622954893794,0.335556166201513,F1,2,2
13,5,0.120029600505744,0.428133558938678,F1,2,2
14,1,0.380482897746542,0.288179974827704,M1,1,2
14,2,0.337649749077699,0.289111049955221,M1,1,2
14,3,0.464485974138833,0.316199496177627,M1,1,2
14,4,0.373685662983808,0.323196885137604,M1,1,2
