Session,Perf_LFP,Perf_MUAe,Birds,Sex,Depth
1,71.0843373493976,68.6746987951807,F2,2,1
1,79.2517006802721,68.3673469387755,F2,2,1
1,73.953488372093,68.3720930232558,F2,2,1
1,63.6363636363636,68.7747035573123,F2,2,1
1,58.4415584415584,61.4718614718615,F2,2,1
1,68.4782608695652,56.8840579710145,F2,2,1
1,79.9086757990868,74.8858447488584,F2,2,1
1,68.6411149825784,69.6864111498258,F2,2,1
1,72.3004694835681,69.9530516431925,F2,2,1
1,73.972602739726,68.9497716894977,F2,2,1
1,76.530612244898,64.2857142857143,F2,2,1
1,70.6521739130435,63.0434782608696,F2,2,1
1,58.1395348837209,60.4651162790698,F2,2,1
1,67.5324675324675,69.2640692640693,F2,2,1
1,77.1084337349398,70.281124497992,F2,2,1
1,63.9130434782609,57.8260869565217,F2,2,1
1,56.5217391304348,71.5415019762846,F2,2,1
1,57.5757575757576,67.965367965368,F2,2,1
1,79.0940766550523,75.2613240418118,F2,2,1
1,68.3720930232558,58.1395348837209,F2,2,1
1,60.8695652173913,57.3122529644269,F2,2,1
1,67.5799086757991,57.5342465753425,F2,2,1
1,64.7887323943662,54.4600938967136,F2,2,1
1,71.4859437751004,69.8795180722892,F2,2,1
1,76.7123287671233,70.7762557077626,F2,2,1
1,71.830985915493,73.2394366197183,F2,2,1
1,65.2173913043478,67.3913043478261,F2,2,1
1,72.1739130434783,60.8695652173913,F2,2,1
1,73.5159817351598,57.9908675799087,F2,2,1
1,67.9442508710801,72.4738675958188,F2,2,1
1,65.863453815261,68.2730923694779,F2,2,1
1,65.9863945578231,64.6258503401361,F2,2,1
1,62.8458498023715,62.0553359683794,F2,2,1
1,67.0995670995671,57.5757575757576,F2,2,1
1,60.4651162790698,52.093023255814,F2,2,1
1,70.8920187793427,71.830985915493,F2,2,1
1,68.1159420289855,47.1014492753623,F2,2,1
1,75.8503401360544,74.8299319727891,F2,2,1
1,66.0869565217391,69.5652173913043,F2,2,1
1,64.8401826484018,72.1461187214612,F2,2,1
1,75.609756097561,72.1254355400697,F2,2,1
1,64.6511627906977,60.9302325581395,F2,2,1
1,54.9407114624506,60.4743083003953,F2,2,1
1,51.9480519480519,65.8008658008658,F2,2,1
1,77.5100401606426,73.0923694779116,F2,2,1
1,73.0923694779116,65.4618473895582,F2,2,1
1,71.3615023474178,62.9107981220657,F2,2,1
1,65.7534246575342,61.6438356164384,F2,2,1
1,72.463768115942,64.1304347826087,F2,2,1
1,65.1567944250871,68.6411149825784,F2,2,1
1,58.4415584415584,69.6969696969697,F2,2,1
1,72.0930232558139,64.6511627906977,F2,2,1
1,61.304347826087,64.3478260869565,F2,2,1
1,71.7687074829932,67.0068027210884,F2,2,1
1,58.2329317269076,74.2971887550201,F2,2,1
1,79.3427230046948,58.2159624413146,F2,2,1
1,64.1860465116279,68.8372093023256,F2,2,1
1,64.2857142857143,61.2244897959184,F2,2,1
1,69.9604743083004,77.4703557312253,F2,2,1
1,70.7762557077626,69.4063926940639,F2,2,1
1,70.995670995671,63.6363636363636,F2,2,1
1,68.8405797101449,62.3188405797101,F2,2,1
1,75.609756097561,79.7909407665505,F2,2,1
1,80.4347826086957,64.7826086956522,F2,2,1
1,76.5217391304348,65.6521739130435,F2,2,1
1,73.7089201877934,65.2582159624413,F2,2,1
1,74.8858447488584,63.4703196347032,F2,2,1
1,70.6827309236948,69.0763052208835,F2,2,1
1,68.8372093023256,58.6046511627907,F2,2,1
1,72.4738675958188,71.7770034843206,F2,2,1
1,76.2845849802372,71.1462450592885,F2,2,1
1,69.5652173913043,71.3768115942029,F2,2,1
1,67.965367965368,64.5021645021645,F2,2,1
1,77.5510204081633,62.2448979591837,F2,2,1
1,68.3982683982684,62.7705627705628,F2,2,1
1,69.4063926940639,51.5981735159817,F2,2,1
1,68.2730923694779,61.0441767068273,F2,2,1
1,61.8604651162791,77.2093023255814,F2,2,1
1,78.4037558685446,74.1784037558685,F2,2,1
1,72.4489795918367,71.0884353741497,F2,2,1
1,70.7317073170732,68.2926829268293,F2,2,1
1,67.8260869565217,68.695652173913,F2,2,1
1,67.3913043478261,62.6811594202899,F2,2,1
2,51.9480519480519,46.3203463203463,M2,1,1
2,57.3913043478261,63.4782608695652,M2,1,1
2,59.6244131455399,55.3990610328638,M2,1,1
2,65.4618473895582,65.863453815261,M2,1,1
2,61.3240418118467,70.7317073170732,M2,1,1
2,55.1020408163265,58.843537414966,M2,1,1
2,48.6166007905138,59.6837944664032,M2,1,1
2,47.906976744186,59.0697674418605,M2,1,1
2,59.4202898550725,65.5797101449275,M2,1,1
2,55.2173913043478,53.4782608695652,M2,1,1
2,62.6506024096386,60.2409638554217,M2,1,1
2,58.5365853658537,64.4599303135889,M2,1,1
2,66.3265306122449,56.8027210884354,M2,1,1
2,59.4202898550725,64.4927536231884,M2,1,1
2,62.9107981220657,61.9718309859155,M2,1,1
2,61.1872146118721,53.4246575342466,M2,1,1
2,74.2971887550201,71.0843373493976,M2,1,1
2,66.9767441860465,56.7441860465116,M2,1,1
2,59.2885375494071,69.9604743083004,M2,1,1
2,47.8260869565217,61.304347826087,M2,1,1
2,53.2467532467532,63.6363636363636,M2,1,1
2,54.4186046511628,57.6744186046512,M2,1,1
2,60.0790513833992,65.6126482213439,M2,1,1
3,74.4588744588745,66.2337662337662,M2,1,1
3,80.2371541501976,74.703557312253,M2,1,1
3,85.7142857142857,72.4738675958188,M2,1,1
3,74.4897959183673,74.4897959183673,M2,1,1
3,68.8372093023256,69.7674418604651,M2,1,1
3,76.0869565217391,68.1159420289855,M2,1,1
3,67.5324675324675,61.9047619047619,M2,1,1
3,69.2028985507246,68.1159420289855,M2,1,1
3,63.9130434782609,67.3913043478261,M2,1,1
3,71.2328767123288,72.6027397260274,M2,1,1
3,88.1533101045296,70.7317073170732,M2,1,1
3,83.5341365461847,70.6827309236948,M2,1,1
3,61.3953488372093,73.0232558139535,M2,1,1
3,80.2371541501976,67.1936758893281,M2,1,1
3,76.530612244898,67.3469387755102,M2,1,1
3,88.2629107981221,71.830985915493,M2,1,1
3,85.0174216027875,75.9581881533101,M2,1,1
3,83.3333333333333,63.0434782608696,M2,1,1
3,90.6976744186046,64.6511627906977,M2,1,1
3,81.304347826087,76.0869565217391,M2,1,1
3,86.8544600938967,81.2206572769953,M2,1,1
3,76.7123287671233,70.7762557077626,M2,1,1
3,79.0513833992095,67.1936758893281,M2,1,1
3,67.0682730923695,64.2570281124498,M2,1,1
3,69.2640692640693,71.8614718614719,M2,1,1
3,80.6122448979592,66.3265306122449,M2,1,1
3,79.4466403162055,71.5415019762846,M2,1,1
3,76.0869565217391,69.5652173913043,M2,1,1
3,75.5868544600939,69.4835680751174,M2,1,1
3,81.9277108433735,76.7068273092369,M2,1,1
3,75.3246753246753,71.4285714285714,M2,1,1
3,65.5813953488372,68.8372093023256,M2,1,1
3,86.7595818815331,74.2160278745645,M2,1,1
3,64.7826086956522,62.1739130434783,M2,1,1
3,82.6530612244898,71.7687074829932,M2,1,1
3,65.5813953488372,61.3953488372093,M2,1,1
3,79.2207792207792,61.9047619047619,M2,1,1
3,83.0985915492958,71.830985915493,M2,1,1
3,90.1185770750988,70.7509881422925,M2,1,1
3,78.695652173913,70,M2,1,1
3,85.8447488584475,76.2557077625571,M2,1,1
3,88.4057971014493,67.3913043478261,M2,1,1
3,87.8048780487805,77.0034843205575,M2,1,1
3,77.891156462585,68.7074829931973,M2,1,1
3,76.4492753623188,71.0144927536232,M2,1,1
3,80.8695652173913,80.4347826086957,M2,1,1
3,78.3132530120482,62.6506024096386,M2,1,1
3,72.6027397260274,63.4703196347032,M2,1,1
3,78.8732394366197,73.2394366197183,M2,1,1
3,78.1395348837209,65.5813953488372,M2,1,1
3,81.8815331010453,73.1707317073171,M2,1,1
3,89.4557823129252,67.687074829932,M2,1,1
3,88.3116883116883,65.8008658008658,M2,1,1
3,87.6712328767123,77.1689497716895,M2,1,1
3,73.8675958188153,71.0801393728223,M2,1,1
3,64.3192488262911,72.3004694835681,M2,1,1
3,64.6586345381526,60.2409638554217,M2,1,1
3,75.3488372093023,60.9302325581395,M2,1,1
3,83.3333333333333,72.4489795918367,M2,1,1
3,75,64.1304347826087,M2,1,1
3,83.7944664031621,64.4268774703557,M2,1,1
3,75.5868544600939,69.0140845070423,M2,1,1
3,86.7579908675799,66.2100456621005,M2,1,1
3,76.9565217391304,72.6086956521739,M2,1,1
3,93.1972789115646,74.1496598639456,M2,1,1
3,82.7309236947791,77.1084337349398,M2,1,1
3,64.1860465116279,59.0697674418605,M2,1,1
3,86.0627177700349,72.8222996515679,M2,1,1
3,85.8695652173913,66.304347826087,M2,1,1
3,82.6086956521739,70.3557312252965,M2,1,1
3,85.2813852813853,72.7272727272727,M2,1,1
3,73.953488372093,65.5813953488372,M2,1,1
3,84.9802371541502,73.9130434782609,M2,1,1
3,86.3453815261044,75.5020080321285,M2,1,1
3,73.4782608695652,72.1739130434783,M2,1,1
3,85.9154929577465,76.9953051643192,M2,1,1
3,68.4782608695652,65.5797101449275,M2,1,1
3,81.5331010452962,68.6411149825784,M2,1,1
3,89.6103896103896,70.5627705627706,M2,1,1
3,86.3013698630137,69.4063926940639,M2,1,1
3,90.4761904761905,74.8299319727891,M2,1,1
3,73.9130434782609,66.304347826087,M2,1,1
3,75.609756097561,67.595818815331,M2,1,1
3,73.9130434782609,67.9841897233202,M2,1,1
3,76.1904761904762,70.0680272108844,M2,1,1
3,66.5217391304348,67.8260869565217,M2,1,1
3,71.0843373493976,73.4939759036145,M2,1,1
3,66.9767441860465,59.5348837209302,M2,1,1
3,64.5021645021645,65.3679653679654,M2,1,1
3,88.1278538812785,70.7762557077626,M2,1,1
4,61.9718309859155,50.2347417840376,F3,2,1
4,87.8260869565217,77.8260869565217,F3,2,1
4,93.9393939393939,82.6839826839827,F3,2,1
4,77.0750988142292,84.9802371541502,F3,2,1
4,87.4564459930314,73.5191637630662,F3,2,1
4,92.1768707482993,86.0544217687075,F3,2,1
4,76.2790697674419,77.2093023255814,F3,2,1
4,84.4155844155844,74.4588744588745,F3,2,1
4,81.8840579710145,79.3478260869565,F3,2,1
4,62.6086956521739,63.9130434782609,F3,2,1
4,57.9908675799087,84.4748858447489,F3,2,1
4,86.411149825784,83.6236933797909,F3,2,1
4,83.1325301204819,80.7228915662651,F3,2,1
