MeanLFP_Corr,MeanMUAe_Corr,MeanFusion_Corr,MeanLFP_R2,MeanMUAe_R2,MeanFusion_R2,Bird_Name,Sex,Depths
-0.0286957373939982,0.163285108162215,0.161161436370569,0.0225503171782896,0.0413867098739348,0.0420129435608186,F2,F,1
0.024932013737906,0.245941330691291,0.235220131627072,0.0193121096362238,0.0836724664853967,0.0693608651990476,M2,M,1
0.356347221203328,0.280003507235976,0.390432094543371,0.159849074814055,0.103198556105296,0.180544805526733,M2,M,1
0.502434450992841,0.46472678953023,0.574843757876743,0.274100652960844,0.238440634206284,0.3482354491256,F3,F,1
0.487281123772365,0.284856843210122,0.500585992289973,0.262650297190014,0.101732525700017,0.268700083933379,M1,M,1
-0.00942787346260209,0.285532194202896,0.218925789378199,0.0263265503777398,0.102489043967892,0.0694463409558691,F1,F,1
0.492219877020068,0.399326477785043,0.572117722793856,0.264874734661796,0.177706572142514,0.338938183856733,M1,M,2
0.605998127427568,0.630518779285896,0.720090443230605,0.39766072293362,0.414448676339115,0.53431206367102,M2,M,2
0.581559568298566,0.575939476573246,0.674210184247156,0.357404624912101,0.347355883725932,0.461979512597474,M1,M,2
0.575688147473268,0.617224353080435,0.684473481015676,0.372047243974148,0.40348213376143,0.50061486241145,M2,M,2
0.595291086408839,0.720068289183522,0.739242733628044,0.381794010655264,0.534307436996631,0.563114413384641,M2,M,2
0.0228328827783427,0.620816752349834,0.6233810622669,0.0237622374296188,0.398347799181938,0.400521486401558,F1,F,2
0.144779641961376,0.681031564443375,0.659150951466132,0.0459549568363072,0.480016589164734,0.452658262449442,F1,F,2
0.598257219487015,0.557000322612109,0.64957871903463,0.382388259304894,0.331957659456465,0.442476292451223,M1,M,2
0.577360127557086,0.638308360145727,0.692560989001491,0.362099930644035,0.425011359593447,0.494333653765566,M2,M,2
0.565514384400575,0.691344938511845,0.686811564805424,0.344128050665925,0.500277381876241,0.491126958010853,F3,F,2
0.612357111957704,0.609061817750226,0.689011230542747,0.402543491787381,0.3997199383993,0.49508490921959,M1,M,3
0.317520370153801,0.229028031682655,0.399529379258011,0.134154620269934,0.0801306497305632,0.184765355661511,F1,F,3
0.472939766910405,0.657711189617172,0.662327273748951,0.25652656853199,0.457116614580154,0.473260574936867,M3,M,3
0.585850229374952,0.697828375726578,0.708137892386936,0.370752213294046,0.497062898518746,0.515743665527879,M2,M,3
0.526443443066236,0.643191112645611,0.685876989310132,0.314911389175583,0.434430884087787,0.4865252472022,F3,F,3
0.217030066474339,0.411448181922585,0.419494672777142,0.0738747470157663,0.190822732817266,0.196182285387491,F1,F,3
0.55916541793439,0.646805664146103,0.660881974652103,0.341150348716312,0.439741541279687,0.456523476706611,M2,M,3
0.223231698453736,0.332831360585322,0.406358936189925,0.0775604758066,0.130801838083366,0.187537142910908,F1,F,3
0.284532022583397,0.645613515916665,0.566747813963337,0.129737155778067,0.456307093302409,0.376706597350893,M2,M,4
0.335731106201311,0.605169927726412,0.638624043400023,0.157908614645613,0.395882499978897,0.431846292729073,F3,F,4
0.512421030328671,0.592607422915972,0.663042200244619,0.289544130549019,0.372305301972377,0.460497618457417,F1,F,4
0.564027518446884,0.670700445202777,0.70618799528264,0.34176387488842,0.462668897509575,0.513418375253677,M3,M,4
0.405326138363959,0.485079429573169,0.549351888240724,0.197536116524747,0.258763755622663,0.327304113538642,M2,M,4
0.425520422527202,0.517590770367793,0.541995858442691,0.219463598124589,0.289381405220756,0.320762168003034,F3,F,4
0.58972688796665,0.709119964302889,0.695869750521857,0.377665611108144,0.51560465892156,0.49337770541509,M1,M,4
0.386419753730218,0.305569528285575,0.534991932065147,0.180670154591401,0.110501953711112,0.301124388972918,F1,F,4
0.492394022117909,0.652376211898398,0.647624218115417,0.274175453782082,0.447064528465271,0.445196378231049,M3,M,4
0.231183527958617,0.227098970068631,0.323099673730944,0.0818900186004061,0.0794371122663671,0.130010364633618,M2,M,4
0.138085606087999,0.195412944166177,0.224126045052704,0.0415838079793113,0.0548503875732422,0.0751603356429509,M2,M,4
0.161279586322659,0.447320695843736,0.41700882908342,0.0553539472597617,0.225310177714736,0.200212878209573,F3,F,4
0.260126933276727,0.171746639926156,0.299040558862414,0.0946674562733749,0.0624571576200683,0.120508091203098,F1,F,4
0.459884097387167,0.654166052776382,0.650071080460454,0.242068181736301,0.453856629554671,0.450770977771643,M3,M,4
0.681795343615391,0.741915193503706,0.763595600290479,0.490670428160698,0.566630550930577,0.596598371382683,M1,M,5
0.190261682210317,0.311625712979708,0.300791597045644,0.0627680942416191,0.112358418293297,0.107993283309042,F1,F,5
0.0311376586111008,0.0904151194677151,0.0872204933659996,0.0213555829566822,0.0233277960827476,0.0253341741729201,M2,M,5
0.452571677071817,0.509597695497706,0.510818350065467,0.228428095579147,0.274938774736304,0.27655203169898,F2,F,5
0.341159187770572,0.502431871791035,0.525028492145483,0.143528957215566,0.275769684995924,0.298685598941076,F1,F,5
0.550785906008624,0.497394717868464,0.583364745045071,0.322697301705678,0.266597837732549,0.358562879395067,M1,M,5
0.229827040175606,0.435406413345882,0.398368782310371,0.0884488018659445,0.216680114085858,0.185692431835028,F2,F,5
0.693969434274802,0.716554927742715,0.781426471196776,0.493769717216492,0.521850115912301,0.616116487128394,M4,M,2
0.587411888856511,0.570397893516138,0.684220450578067,0.36009470471796,0.338882946743155,0.477127108933791,M4,M,2
0.625074688322281,0.649861802176479,0.723777148522009,0.406266431013743,0.432737732927005,0.531461753447851,M4,M,2
