MeanLFP_Acc,MeanMUAe_Acc,MeanFusion_Acc,MeanLFP_Cohen,MeanMUAe_Cohen,MeanFusion_Cohen,Bird_Name,Sex,Depths
69.1234944172857,65.9961328251914,67.5731024581735,0.365733769209704,0.290662008853819,0.328762828027415,F2,F,1
58.6599106894925,61.1242405689689,59.6320906923382,0.146951576497274,0.191570969718132,0.172409483309258,M2,M,1
78.495387818725,69.6358850048398,76.5722691326074,0.56250082638127,0.367664721507184,0.517137235664869,M2,M,1
85.5347178817173,76.4729500344414,84.0634923742938,0.707555906957717,0.519330226805529,0.675505478716335,F3,F,1
79.6524133876956,72.57008894929,78.6418220135425,0.582355878735733,0.430693269380258,0.558616716952634,M1,M,1
66.1271824787239,71.2845843248196,69.7548968865997,0.293922519210305,0.403303179775348,0.370571982564425,F1,F,1
80.8779433396775,73.2394729903258,79.9538604263687,0.607507168643722,0.447219295425562,0.589480165258376,M1,M,2
92.3298070612672,92.7868166795677,92.2957787710975,0.84210001249215,0.851386231981936,0.842138262000065,M2,M,2
84.8401153980652,76.0958529800614,83.4616029180076,0.690275561681701,0.513141466167149,0.660346273115021,M1,M,2
91.6862504523601,92.5435360414881,92.1496030465486,0.82946707039341,0.846771066098085,0.838755402772411,M2,M,2
89.4535153435843,93.6627763736195,91.5775951516214,0.783354665205224,0.869935789544428,0.828457138479134,M2,M,2
68.8223964297616,86.448403447416,84.0694994543701,0.353003982399982,0.722111256760144,0.674051484545725,F1,F,2
70.4386272219031,83.881161430599,81.20073927063,0.387891200220094,0.670312138754065,0.616149737464754,F1,F,2
83.924847098888,78.2346932995956,83.4610748039133,0.669488633459067,0.551873996349796,0.654865127554313,M1,M,2
90.0703346533496,90.9631098763628,90.4886154643828,0.797712752580786,0.814294284077889,0.805199814383856,M2,M,2
85.3144192745044,88.1030508960661,87.7581295062929,0.698721180804231,0.754495630919248,0.747497972174313,F3,F,2
86.1903798498981,79.3870018039275,83.4466766412707,0.715097004637841,0.580771531456974,0.658409186746535,M1,M,3
71.4491181235693,67.8589275124294,70.5976126344483,0.412332883506925,0.333952738606997,0.39456213013408,F1,F,3
84.4006425021746,85.4067300557552,86.5227627152419,0.677564933831446,0.701759559575787,0.724262460245292,M3,M,3
87.5744341866067,91.8434317133119,90.4321936662166,0.74577187557787,0.831802353214369,0.807141665095931,M2,M,3
85.1500705861036,84.3018240069808,88.2239686574684,0.698278945463137,0.676003893121835,0.757678186762956,F3,F,3
70.2081478650335,71.6683018842186,71.9878811343004,0.382826620557693,0.414484011346258,0.42200833969346,F1,F,3
86.6497242658697,88.7273041891787,88.5923752759338,0.72479820528795,0.768684582354886,0.775157486037563,M2,M,3
74.9610505365467,74.391185909649,76.4611087100354,0.482584577038831,0.470734566335101,0.51307109181819,F1,F,3
71.3539382404307,80.3595691205446,78.0924925317683,0.421153885682644,0.601682184136714,0.556259236931402,M2,M,4
76.7268796148543,82.1902338559016,83.9051858331923,0.523653387277989,0.637962567436098,0.671027965982741,F3,F,4
83.0397839442321,81.2610214846256,83.8491764867375,0.652590149913545,0.615171008799409,0.668345863987615,F1,F,4
87.5454931474907,86.4679290791876,89.2580844552772,0.742502805383462,0.72263716769868,0.778501513531724,M3,M,4
81.294611143788,74.6283081672853,79.3807863190522,0.617451350742694,0.47684647254281,0.574294106401223,M2,M,4
83.8071288145721,81.0291739046885,84.3267752141985,0.667036276500956,0.609068010643551,0.677719762377711,F3,F,4
79.3358556649897,86.5708083865506,79.465417255625,0.577035370997133,0.720719640117439,0.562885573661883,M1,M,4
77.8745842352956,72.2196217527144,78.0475093310253,0.541672746617936,0.424081896099943,0.546752451734307,F1,F,4
84.9534226790465,85.6455022011721,87.7563874240443,0.691707238827501,0.704932473946033,0.750472796005738,M3,M,4
75.7010891154959,68.7750181238776,72.0297488927575,0.503334284294911,0.356733676515914,0.420368606985778,M2,M,4
70.9973390269671,64.7277574296487,68.0564178207385,0.40206355491303,0.271517377575433,0.332828039136888,M2,M,4
67.4984766338276,73.2655088159281,71.7570398095228,0.328288966048135,0.456141448112549,0.425193994496067,F3,F,4
74.2292831205861,64.7706953488778,72.274965310145,0.466650530053207,0.278768956599731,0.429712364239752,F1,F,4
82.9821951316768,84.4606776735034,86.4996852648867,0.651145840887945,0.682276465417043,0.723772620798788,M3,M,4
87.3453428670305,92.7501237318421,90.513097784321,0.742416077870071,0.850904433774312,0.805003594783072,M1,M,5
70.5664793393959,70.0201839982377,71.2088360748642,0.398244341127496,0.389404478529356,0.413633188048799,F1,F,5
67.7732837512946,63.4196613880435,65.4024356076656,0.319331068983001,0.233547690342863,0.272249437008027,M2,M,5
84.4155155638359,88.629855053488,85.6159986507789,0.679450756027554,0.765462092097564,0.703769497682838,F2,F,5
77.2061237622865,79.2668252728258,79.7561835448615,0.532597467231984,0.572441356276299,0.585980270430829,F1,F,5
86.2875208659921,85.3614168628001,86.4412908650872,0.718997912541347,0.699260267722277,0.722050396085686,M1,M,5
72.9337028152117,76.9794528477975,75.429447392115,0.440992768066582,0.525390158689501,0.487752905608826,F2,F,5
90.7916867570038,94.0145594667364,92.6692289980846,0.81148033181993,0.877049421032417,0.84982895071909,M4,M,2
86.4262761296418,83.1769989533429,85.4481371011451,0.72044380303344,0.654968304552591,0.698358383692942,M4,M,2
85.5977503346385,85.4095946116331,88.2436809714414,0.701732106487779,0.702330545746629,0.756929351780437,M4,M,2
85.4971627475907,85.2964555495185,87.0793094654954,0.703263661592922,0.702114665488401,0.734649506873318,M4,M,3
