MeanLFP_PeakRate,MeanMUAe_PeakRate,MeanFusion_PeakRate,MeanLFP_PeakEnv,MeanMUAe_PeakEnv,MeanFusion_PeakEnv,Bird_Name,Sex,Depths
21.6249165910287,15.0053133068911,18.601756872692,21.5398982175065,13.1291399363689,18.7781778609486,F2,F,1
24.4687859888425,20.540322460029,18.7504000837558,19.6195776001268,15.1882530281373,20.8480663605849,M2,M,1
32.4258743263387,21.4079100256087,27.0842105263158,34.5662637729201,21.405534037113,30.3548985605229,M2,M,1
44.6522667818657,31.8069375444996,41.1126270989832,46.0713729874577,34.2942418798312,44.5051517509938,F3,F,1
34.6454166892981,24.1783607625876,30.8368819365235,35.0143359618673,24.2261807770199,32.288248884713,M1,M,1
15.9335425114579,21.3661798584399,20.031712029132,14.5271418702322,22.2514578141279,19.5514680668072,F1,F,1
33.3706709336224,24.3868196933212,31.6076659265514,35.8474120400661,25.2783126364138,31.6425048423829,M1,M,2
70.0418640506298,55.6314732614669,58.0307856814254,71.6801143700692,60.1128092712076,61.818371013977,M2,M,2
46.9606801455447,34.9589432016938,40.378658604534,48.3168540907389,33.7278534074636,41.1708681271102,M1,M,2
68.8729503497305,57.3570316565673,56.1562475192506,69.1030782942548,59.9385457164095,61.4543644922902,M2,M,2
60.1874533767775,63.7710273149276,62.1672483698782,62.6676365401276,66.8908609624162,65.4869927828845,M2,M,2
17.6031785345717,45.700730994152,42.5505779153767,19.0418213537409,49.2323405438731,45.1649427713669,F1,F,2
22.2611027771572,44.2810954007213,40.8460594583285,22.306404598703,47.7635538669339,43.4015718127301,F1,F,2
43.9862897985705,36.9631005618622,39.4849787868364,50.9892117399857,39.0354538058356,41.1713354489412,M1,M,2
60.269673607317,50.857891195694,55.5222358809365,62.1059281907716,56.6835114287764,58.3701400862437,M2,M,2
52.7833041683493,61.6545544737091,59.6330521529741,54.6315137478147,63.2523839112882,62.1570686384255,F3,F,2
50.9407505692335,39.6698991487433,42.4444608252658,58.1145961840345,40.5185918067386,46.2953824095649,M1,M,3
29.3832487673432,18.8881847695218,28.165996588694,30.6659510062664,19.2714185288682,29.996120840016,F1,F,3
53.7062125902993,60.354212246302,59.1536394908841,54.9840309329473,62.3859615616582,60.8423386898619,M3,M,3
52.5911411656075,48.066469924381,50.0945207876933,51.7825125797262,52.9142206142369,52.4039511716716,M2,M,3
48.2528354479047,52.9066983346486,52.8815334183209,52.601608942667,58.5091597151104,60.2738143526479,F3,F,3
23.228469141319,26.1883065760216,30.3768330265729,23.6370030180473,26.9693364611337,30.4797595224808,F1,F,3
53.0171998624011,49.6926575698506,51.0853686503841,56.9970119892721,56.1016238854216,55.925347633294,M2,M,3
27.4455278584575,27.569478578192,30.6453086932006,29.8125290991781,24.3768158704643,32.6611972992554,F1,F,3
33.5251691319803,35.1030517470146,34.260913722214,31.5778012427725,44.5483935200875,37.2504823300931,M2,M,4
29.8960067042868,44.1278645089988,45.2837281982595,40.5916384335131,53.1642566422884,52.9783481820568,F3,F,4
41.4976896974948,38.2582973410287,43.9677088509218,45.9461969165558,42.687507594055,47.2034773505362,F1,F,4
56.5424802201582,62.5688957688338,56.8337564499484,58.0016892722001,64.5925754671885,60.4371233341822,M3,M,4
40.4594409139464,29.7166476562924,40.8141708761067,41.4801075302949,32.8339406777569,40.8483147309121,M2,M,4
42.7970111428982,43.0404283854337,43.2140860341472,41.3768943670578,49.1150553452156,46.1463139956889,F3,F,4
39.181917211329,37.8156862745098,37.59825708061,46.9975667034491,45.0270916447387,42.0131992190816,M1,M,4
37.3807082043344,21.6276892701525,38.589123953675,37.8600273010586,23.3921188424865,43.0913135622404,F1,F,4
44.79673374613,59.2707585139319,53.3520399036808,47.7797339829074,62.681350211536,57.4716179932898,M3,M,4
28.8002053559329,18.6029932972657,26.3399604924373,30.8520230382037,19.2611730062476,24.7505216140876,M2,M,4
22.0085409602437,18.8273551525874,22.3803258145363,23.1768640470542,17.4342360548685,21.8516609195512,M2,M,4
18.642007160239,28.4762960414835,28.487768986737,20.7583569490174,27.0772867006097,27.7732006619176,F3,F,4
30.2549227192389,17.4219482106212,28.9674507431527,32.1384435641935,20.6871739786494,34.6311575006728,F1,F,4
42.2260374644275,56.0484097945398,53.3720243369366,46.8606844087658,59.4504861696906,57.2511036860413,M3,M,4
53.6822797030527,57.9867893960074,57.9617746928992,57.336076376324,59.1222860497803,62.5149832274321,M1,M,5
23.3673890608875,19.7354956785346,30.3777573529412,24.271853877117,23.2328171001255,32.8514989777809,F1,F,5
19.3591964948491,16.0506098407353,16.7239512610215,21.1096205739354,15.4835990749303,18.4220676154846,M2,M,5
38.796127315192,46.4605874205638,42.6132656201908,43.9188471283754,51.8800240233758,45.0765107310447,F2,F,5
29.3965059708094,30.6857011810572,33.1353192349064,35.8922622743941,38.1226999039914,41.1209778967408,F1,F,5
42.1589327636256,39.2189421782871,40.401764645532,44.2345347999576,40.4806334800632,43.3888660811424,M1,M,5
24.1383001243682,30.3573734487047,25.758633007859,26.864548420276,31.9779914787655,33.9336875714585,F2,F,5
56.2509803921569,57.1663595262666,52.2824708830901,61.8786087002584,59.7403817986525,56.949724866023,M4,M,2
51.1431450435189,40.1583166202595,44.9087920504183,55.6903812350976,42.0266657714815,46.8580675025269,M4,M,2
46.73674750602,42.0730592821924,45.2621918357986,50.9248630339962,47.0452144175054,50.443254787295,M4,M,2
47.8479710093354,46.070430471039,49.1632860040568,50.1254028257071,50.3069112482479,53.1160414173919,M4,M,3
